n,a_n,parity,is_odd_term,last_checked_previous_term
1073,3872,even,False,25
1074,3874,even,False,25
1075,3878,even,False,25
1076,3884,even,False,25
1077,3890,even,False,25
1078,3896,even,False,25
1079,3900,even,False,25
1080,3902,even,False,25
1081,3908,even,False,25
1082,3912,even,False,25
1083,3914,even,False,25
1084,3920,even,False,25
1085,3924,even,False,25
1086,3926,even,False,25
1087,3932,even,False,25
1088,3934,even,False,25
1089,3936,even,False,25
1090,3938,even,False,25
1091,3940,even,False,25
1092,3944,even,False,25
1093,3948,even,False,25
1094,3950,even,False,25
1095,3952,even,False,25
1096,3954,even,False,25
1097,3956,even,False,25
1098,3958,even,False,25
1099,3960,even,False,25
1100,3962,even,False,25
1101,3968,even,False,25
1102,3970,even,False,25
1103,3972,even,False,25
1104,3974,even,False,25
1105,3980,even,False,25
1106,3984,even,False,25
1107,3986,even,False,25
1108,3990,even,False,25
1109,3992,even,False,25
1110,3998,even,False,25
1111,4004,even,False,25
1112,4008,even,False,25
1113,4010,even,False,25
1114,4014,even,False,25
1115,4016,even,False,25
1116,4022,even,False,25
1117,4028,even,False,25
1118,4030,even,False,25
1119,4034,even,False,25
1120,4036,even,False,25
1121,4038,even,False,25
1122,4040,even,False,25
1123,4042,even,False,25
1124,4044,even,False,25
1125,4046,even,False,25
1126,4052,even,False,25
1127,4058,even,False,25
1128,4060,even,False,25
1129,4062,even,False,25
1130,4064,even,False,25
1131,4070,even,False,25
1132,4076,even,False,25
1133,4080,even,False,25
1134,4082,even,False,25
1135,4084,even,False,25
1136,4088,even,False,25
1137,4094,even,False,25
1138,4096,even,False,25
1139,4100,even,False,25
1140,4106,even,False,25
1141,4112,even,False,25
1142,4116,even,False,25
1143,4118,even,False,25
1144,4120,even,False,25
1145,4122,even,False,25
1146,4124,even,False,25
1147,4130,even,False,25
1148,4136,even,False,25
1149,4140,even,False,25
1150,4142,even,False,25
1151,4144,even,False,25
1152,4146,even,False,25
1153,4148,even,False,25
1154,4150,even,False,25
1155,4154,even,False,25
1156,4160,even,False,25
1157,4162,even,False,25
1158,4164,even,False,25
1159,4166,even,False,25
1160,4168,even,False,25
1161,4170,even,False,25
1162,4172,even,False,25
1163,4174,even,False,25
1164,4178,even,False,25
1165,4180,even,False,25
1166,4182,even,False,25
1167,4184,even,False,25
1168,4188,even,False,25
1169,4190,even,False,25
1170,4196,even,False,25
1171,4198,even,False,25
1172,4202,even,False,25
1173,4208,even,False,25
1174,4212,even,False,25
1175,4214,even,False,25
1176,4220,even,False,25
1177,4222,even,False,25
1178,4224,even,False,25
1179,4226,even,False,25
1180,4232,even,False,25
1181,4238,even,False,25
1182,4244,even,False,25
1183,4250,even,False,25
1184,4254,even,False,25
1185,4256,even,False,25
1186,4262,even,False,25
1187,4266,even,False,25
1188,4268,even,False,25
1189,4274,even,False,25
1190,4276,even,False,25
1191,4278,even,False,25
1192,4280,even,False,25
1193,4284,even,False,25
1194,4286,even,False,25
1195,4290,even,False,25
1196,4292,even,False,25
1197,4294,even,False,25
1198,4298,even,False,25
1199,4300,even,False,25
1200,4304,even,False,25
1201,4306,even,False,25
1202,4308,even,False,25
1203,4310,even,False,25
1204,4316,even,False,25
1205,4318,even,False,25
1206,4320,even,False,25
1207,4322,even,False,25
1208,4328,even,False,25
1209,4330,even,False,25
1210,4334,even,False,25
1211,4340,even,False,25
1212,4342,even,False,25
1213,4344,even,False,25
1214,4346,even,False,25
1215,4350,even,False,25
1216,4352,even,False,25
1217,4354,even,False,25
1218,4358,even,False,25
1219,4360,even,False,25
1220,4364,even,False,25
1221,4368,even,False,25
1222,4370,even,False,25
1223,4374,even,False,25
1224,4376,even,False,25
1225,4378,even,False,25
1226,4380,even,False,25
1227,4382,even,False,25
1228,4386,even,False,25
1229,4388,even,False,25
1230,4392,even,False,25
1231,4394,even,False,25
1232,4400,even,False,25
1233,4402,even,False,25
1234,4404,even,False,25
1235,4406,even,False,25
1236,4410,even,False,25
1237,4412,even,False,25
1238,4414,even,False,25
1239,4418,even,False,25
1240,4424,even,False,25
1241,4428,even,False,25
1242,4430,even,False,25
1243,4434,even,False,25
1244,4436,even,False,25
1245,4442,even,False,25
1246,4444,even,False,25
1247,4448,even,False,25
1248,4452,even,False,25
1249,4454,even,False,25
1250,4460,even,False,25
1251,4464,even,False,25
1252,4466,even,False,25
1253,4470,even,False,25
1254,4472,even,False,25
1255,4474,even,False,25
1256,4476,even,False,25
1257,4478,even,False,25
